ç
Município,ibge,latitude,longitude,"PIB per capita_1999 (R$)","PIB per capita_2000 (R$)","PIB per capita_2001 (R$)","PIB per capita_2002 (R$)","PIB per capita_2003 (R$)","PIB per capita_2004 (R$)","PIB per capita_2005 (R$)","PIB per capita_2006 (R$)","PIB per capita_2007 (R$)","PIB per capita_2008 (R$)","PIB per capita_2009 (R$)","PIB per capita_2010 (R$)","PIB per capita_2011 (R$)"
"Boqueirão do Leão",4302451,-29.304600000000,-52.428400000000,3.596,4.065,4.803,5.197,7.041,7.603,7.555,8.742,9.003,9.518,10.592,11.888,13.644
Bossoroca,4302501,-28.729099999990,-54.903500000000,4.592,5.039,7.593,7.925,13.583,9.200,8.393,9.892,14.142,15.287,15.544,20.510,22.381
Bozano,4302584,-28.367460000000,-53.772239999990,-,-,6.458,6.498,14.169,9.479,6.021,9.729,15.260,15.127,15.322,17.409,21.434
Braga,4302600,-27.617300000000,-53.740499999990,3.210,3.940,4.539,4.466,7.042,5.715,5.214,7.069,9.126,9.589,10.066,12.037,13.885
Brochier,4302659,-29.550100000000,-51.594499999990,3.860,4.360,4.941,5.532,6.180,7.622,7.483,8.409,9.350,10.090,11.102,13.455,13.494
Butiá,4302709,-30.117899999990,-51.960099999990,4.266,5.355,5.288,6.229,6.698,7.961,8.222,8.155,9.894,9.537,10.432,13.811,14.506
"Caçapava do Sul",4302808,-30.514399999990,-53.482700000000,4.688,5.051,5.534,6.247,7.868,9.173,8.307,8.487,10.184,10.943,11.779,13.657,14.613
Cacequi,4302907,-29.888300000000,-54.822000000000,4.023,4.084,4.611,5.395,7.079,7.506,6.861,8.367,10.543,11.359,12.861,13.658,14.525
"Cachoeira do Sul",4303004,-30.033000000000,-52.892800000000,4.338,4.581,5.299,6.050,7.242,7.915,7.744,8.450,10.363,12.478,14.281,16.256,17.494
Cachoeirinha,4303103,-29.947199999990,-51.101599999990,8.490,9.045,10.041,11.300,13.499,15.809,16.342,16.682,20.823,23.002,27.808,36.582,36.183
"Cacique Doble",4303202,-27.766999999990,-51.659700000000,3.188,4.225,4.969,5.172,7.347,7.066,5.592,7.929,9.674,10.217,10.508,13.152,13.733
Caibaté,4303301,-28.290500000000,-54.645400000000,4.775,5.082,6.776,7.212,9.829,8.228,7.992,10.440,13.139,13.380,12.900,16.306,19.399
Caiçara,4303400,-27.279100000000,-53.425699999990,4.092,4.369,4.938,5.744,7.456,7.645,7.657,9.034,9.367,10.715,11.629,12.357,13.181
Camaquã,4303509,-30.848900000000,-51.804299999990,6.490,6.779,7.404,8.000,9.863,11.634,10.948,10.783,12.617,14.634,16.450,17.686,17.889
Camargo,4303558,-28.588000000000,-52.200299999990,6.109,6.615,8.122,9.898,13.581,10.873,10.441,13.337,18.415,20.989,20.383,23.572,31.691
"Cambará do Sul",4303608,-29.047400000000,-50.146500000000,7.667,7.905,8.676,11.728,11.836,13.505,12.108,12.394,12.859,12.843,13.310,17.465,17.136
"Campestre da Serra",4303673,-28.792600000000,-51.094099999990,7.277,6.902,8.111,10.084,11.533,14.894,11.715,16.135,16.600,15.060,17.581,20.534,23.370
