ç
Município,ibge,latitude,longitude,"PIB per capita_1999 (R$)","PIB per capita_2000 (R$)","PIB per capita_2001 (R$)","PIB per capita_2002 (R$)","PIB per capita_2003 (R$)","PIB per capita_2004 (R$)","PIB per capita_2005 (R$)","PIB per capita_2006 (R$)","PIB per capita_2007 (R$)","PIB per capita_2008 (R$)","PIB per capita_2009 (R$)","PIB per capita_2010 (R$)","PIB per capita_2011 (R$)"
Formigueiro,4308409,-30.003499999990,-53.495899999990,4.110,4.091,4.966,6.134,7.352,8.284,6.312,8.089,9.643,11.222,13.274,14.397,14.398
Forquetinha,4308433,-29.379200000000,-52.091700000000,-,-,4.538,5.043,6.286,6.507,5.933,7.014,10.709,10.660,10.121,11.852,13.752
"Fortaleza dos Valos",4308458,-28.798600000000,-53.224899999990,7.754,6.964,11.211,11.852,20.388,12.616,9.388,14.893,21.171,26.540,27.043,24.924,31.634
"Frederico Westphalen",4308508,-27.358599999990,-53.395800000000,4.811,5.669,6.172,8.013,9.129,9.893,10.655,12.262,14.294,17.950,17.829,19.725,21.603
Garibaldi,4308607,-29.259000000000,-51.535200000000,13.224,13.475,14.897,16.563,18.875,21.627,22.087,20.652,24.346,26.516,28.584,33.021,34.604
Garruchos,4308656,-28.194400000000,-55.638300000000,4.725,4.674,29.559,72.095,63.333,41.923,35.674,80.851,51.126,44.833,64.617,66.594,33.790
Gaurama,4308706,-27.585599999990,-52.091500000000,5.174,5.771,6.748,7.627,11.171,10.889,10.619,11.416,14.655,15.640,15.508,19.296,22.050
"General Câmara",4308805,-29.903199999990,-51.761200000000,2.995,3.198,4.990,4.750,5.344,9.694,8.110,8.780,9.941,9.523,11.757,11.625,12.006
Gentil,4308854,-28.431600000000,-52.033700000000,6.243,7.937,9.360,13.785,21.060,16.019,9.759,16.777,23.124,30.545,27.943,30.347,40.116
"Getúlio Vargas",4308904,-27.891100000000,-52.229399999990,6.185,6.012,6.010,6.761,8.424,8.950,8.765,10.533,12.783,13.461,14.168,16.774,18.433
Giruá,4309001,-28.029699999990,-54.351700000000,5.735,5.942,6.799,8.348,11.575,9.923,8.048,11.296,16.283,17.953,20.471,24.011,26.324
Glorinha,4309050,-29.879799999990,-50.773400000000,3.932,3.907,4.895,6.126,8.201,14.196,16.424,19.349,27.004,25.151,25.598,32.802,33.005
Gramado,4309100,-29.373300000000,-50.876199999990,6.313,6.521,7.388,8.096,9.034,10.036,10.972,11.707,13.935,13.965,15.018,19.487,21.010
"Gramado dos Loureiros",4309126,-27.442900000000,-52.914900000000,3.401,3.358,4.057,3.931,6.565,5.292,4.483,6.645,8.856,9.243,9.184,11.930,14.547
"Gramado Xavier",4309159,-29.270600000000,-52.579500000000,3.336,3.965,5.098,5.295,7.306,7.954,7.379,9.522,9.352,9.751,10.437,11.155,12.884
Gravataí,4309209,-29.941299999990,-50.986899999990,5.362,6.384,8.777,9.586,10.440,12.547,13.388,14.293,18.628,19.114,21.514,27.006,28.376
Guabiju,4309258,-28.542100000000,-51.694800000000,3.992,4.999,6.549,7.407,9.059,11.060,12.996,14.901,16.903,21.550,22.398,23.986,24.318
Guaíba,4309308,-30.108599999990,-51.323300000000,6.316,5.534,5.785,6.710,7.383,8.116,11.665,13.973,16.860,16.888,20.739,25.269,26.479
Guaporé,4309407,-28.839900000000,-51.889499999990,6.074,6.689,7.122,7.896,9.006,9.577,10.458,11.080,13.223,13.726,14.939,17.998,18.770
"Guarani das Missões",4309506,-28.149100000000,-54.562899999990,5.272,5.570,6.876,8.116,10.590,9.405,9.182,11.322,14.677,16.507,22.066,23.975,23.723
Harmonia,4309555,-29.545600000000,-51.418500000000,6.185,6.866,6.823,7.432,9.046,10.079,12.004,14.666,17.671,16.644,19.723,20.634,21.348
Herval,4307104,-32.024000000000,-53.394399999990,3.921,3.738,4.510,4.832,5.081,6.062,6.177,6.248,7.805,9.147,9.802,11.471,11.263
Herveiras,4309571,-29.455200000000,-52.655299999990,3.410,3.430,4.569,4.810,7.043,7.832,7.338,8.940,9.472,9.792,11.310,13.015,14.503
Horizontina,4309605,-27.628200000000,-54.305300000000,14.865,17.075,15.861,22.262,33.176,43.053,23.707,19.805,26.809,28.698,28.620,38.092,41.517
"Hulha Negra",4309654,-31.406700000000,-53.866700000000,10.172,10.982,9.076,11.169,12.182,18.177,16.200,18.581,13.593,12.988,14.697,17.868,20.221
Humaitá,4309704,-27.569099999990,-53.969499999990,4.382,5.258,6.685,7.306,10.655,9.725,9.327,11.860,13.939,14.038,14.450,17.000,17.916
Ibarama,4309753,-29.420300000000,-53.129500000000,4.180,4.787,6.373,6.745,8.216,8.535,8.778,10.827,11.097,12.242,12.168,12.879,14.257
Ibiaçá,4309803,-28.056600000000,-51.859900000000,5.415,6.282,7.609,8.939,13.329,11.535,8.750,14.585,16.922,18.286,18.325,21.141,24.110
Ibiraiaras,4309902,-28.374099999990,-51.637700000000,5.380,5.985,8.719,10.299,10.782,12.075,10.624,13.432,15.671,18.543,19.121,20.379,22.082
Ibirapuitã,4309951,-28.624700000000,-52.515799999990,3.515,3.631,5.414,6.207,9.292,7.632,5.801,9.172,11.935,12.648,12.897,14.513,17.029
Ibirubá,4310009,-28.630199999990,-53.096100000000,7.094,7.650,9.785,11.572,18.164,18.361,14.682,16.562,21.138,27.451,28.910,30.727,33.756
Igrejinha,4310108,-29.569299999990,-50.791899999990,8.190,8.933,10.490,10.394,10.482,12.622,14.268,14.561,15.743,17.892,21.128,27.006,27.082
Ijuí,4310207,-28.388100000000,-53.920000000000,6.921,7.373,9.689,9.620,11.985,12.345,12.067,13.120,16.049,17.356,19.111,23.033,25.908
Ilópolis,4310306,-28.928200000000,-52.125799999990,3.972,4.168,5.173,5.677,6.535,7.701,7.579,9.083,11.069,11.090,12.726,14.873,17.600
Imbé,4310330,-29.975300000000,-50.128100000000,6.150,5.559,6.112,6.469,7.663,8.352,8.689,8.973,10.392,10.593,11.604,12.882,13.428
Imigrante,4310363,-29.350800000000,-51.774700000000,5.602,6.581,8.936,10.301,13.918,16.583,16.937,18.033,21.294,23.596,23.632,37.695,40.766
Independência,4310405,-27.835400000000,-54.188600000000,5.110,5.354,6.343,7.531,11.186,9.051,7.940,9.821,14.131,14.425,15.203,17.859,21.259
Inhacorá,4310413,-27.875200000000,-54.015000000000,4.547,5.318,6.020,6.757,10.432,7.941,5.494,7.255,13.211,13.079,12.081,14.499,17.941
Ipê,4310439,-28.817100000000,-51.285899999990,4.951,5.253,6.624,8.044,11.326,11.424,11.639,14.085,14.092,14.055,15.258,19.626,19.294
"Ipiranga do Sul",4310462,-27.940400000000,-52.427100000000,6.022,7.328,9.421,10.804,18.212,16.680,12.668,16.868,20.569,22.580,21.924,25.254,31.378
Iraí,4310504,-27.195100000000,-53.254300000000,3.486,3.591,4.008,4.815,6.248,6.115,6.487,7.601,7.792,8.448,9.022,10.934,12.053
Itaara,4310538,-29.601299999990,-53.772500000000,4.872,5.129,4.970,5.100,5.895,5.811,5.663,6.567,8.543,9.131,10.002,11.571,11.996
Itacurubi,4310553,-28.791300000000,-55.244700000000,4.759,4.971,6.423,6.682,8.974,9.251,8.485,8.665,11.358,13.468,13.813,17.168,17.130
Itapuca,4310579,-28.776800000000,-52.169300000000,3.915,4.298,5.556,5.432,7.018,7.251,6.925,8.691,10.408,11.121,12.302,14.475,17.373
Itaqui,4310603,-29.131000000000,-56.551499999990,7.597,7.347,7.852,9.408,11.615,12.960,11.469,12.623,14.493,18.021,21.602,22.020,21.912
Itati,4310652,-29.488320000000,-50.113579999990,-,-,2.200,2.600,3.121,4.186,4.543,5.639,6.082,6.312,6.230,8.075,8.550
"Itatiba do Sul",4310702,-27.384599999990,-52.453800000000,2.819,3.339,3.790,3.834,5.408,5.713,6.195,7.897,9.473,10.602,9.252,11.723,12.426
Ivorá,4310751,-29.523199999990,-53.584200000000,3.701,4.135,5.054,5.713,6.837,8.490,7.763,8.524,9.373,11.880,13.181,16.942,15.616
Ivoti,4310801,-29.599499999990,-51.153300000000,14.965,17.767,14.225,14.253,15.238,19.651,16.806,16.065,16.851,18.182,18.487,22.583,22.505
Jaboticaba,4310850,-27.634699999990,-53.276200000000,3.642,4.012,5.509,5.237,7.342,6.443,6.178,8.323,9.153,10.673,10.856,14.592,15.818
Jacuizinho,4310876,-29.021999999990,-53.053699999990,-,-,6.381,6.964,13.307,9.929,5.703,11.489,13.026,16.730,13.527,13.029,16.717
Jacutinga,4310900,-27.729099999990,-52.537199999990,4.485,5.631,6.898,7.397,12.252,10.437,7.549,11.479,16.366,17.256,19.111,19.831,21.987
Jaguarão,4311007,-32.560400000000,-53.377000000000,3.786,4.257,4.543,4.965,5.758,6.274,7.375,8.267,10.478,11.286,12.966,15.324,14.874
Jaguari,4311106,-29.493600000000,-54.703000000000,3.843,3.993,4.520,6.140,6.764,7.229,7.175,8.729,10.083,10.001,11.780,14.439,14.024
Jaquirana,4311122,-28.881100000000,-50.363700000000,3.241,3.696,4.167,4.673,4.727,5.119,5.203,5.415,7.240,8.162,8.953,11.400,11.707
Jari,4311130,-29.292200000000,-54.223700000000,5.519,5.499,8.171,9.430,13.348,11.337,8.494,15.282,19.720,22.768,22.641,21.262,26.215
Jóia,4311155,-28.643500000000,-54.114100000000,7.143,5.652,9.810,9.036,19.968,11.414,7.501,12.670,20.110,24.353,21.689,23.360,29.012
"Júlio de Castilhos",4311205,-29.229800000000,-53.677199999990,4.567,5.881,7.113,8.126,13.305,11.177,8.491,12.149,16.234,18.302,19.768,21.669,27.487
"Lagoa Bonita do Sul",4311239,-29.488199999990,-53.013800000000,-,-,6.729,6.478,8.230,9.077,9.025,11.555,12.649,14.591,14.636,12.889,14.903
"Lagoa dos Três Cantos",4311270,-28.567599999990,-52.861800000000,9.217,7.929,12.134,11.364,19.794,16.926,11.312,17.812,20.578,24.800,26.275,26.938,31.015
"Lagoa Vermelha",4311304,-28.209299999990,-51.524799999990,4.474,5.353,5.965,7.480,9.016,9.171,8.743,10.870,13.013,14.153,14.748,18.164,19.374
Lagoão,4311254,-29.234800000000,-52.799700000000,2.771,2.827,3.409,3.517,4.655,4.976,5.229,6.843,7.421,8.535,8.974,9.897,10.933
Lajeado,4311403,-29.459099999990,-51.964399999990,8.908,9.614,10.559,12.316,14.595,17.015,17.833,19.231,21.050,22.391,25.458,30.218,31.038
"Lajeado do Bugre",4311429,-27.691299999990,-53.181800000000,3.513,3.535,5.511,4.311,6.152,5.123,4.752,6.646,8.026,10.629,8.966,11.634,13.597
"Lavras do Sul",4311502,-30.807099999990,-53.893099999990,4.392,4.426,5.433,6.932,8.267,10.082,10.749,11.638,14.133,16.306,17.175,20.376,19.975
"Liberato Salzano",4311601,-27.600999999990,-53.075299999990,2.908,3.317,4.552,4.583,6.520,5.917,6.708,9.375,8.905,9.433,12.276,13.992,15.270
"Lindolfo Collor",4311627,-29.585899999990,-51.214100000000,11.250,10.450,12.847,14.275,15.136,18.171,15.441,15.870,15.507,19.184,18.805,22.623,20.557
"Linha Nova",4311643,-29.467900000000,-51.200299999990,4.590,4.753,5.867,6.269,7.148,7.849,7.688,9.051,10.402,11.282,13.124,13.652,15.919
Maçambará,4311718,-29.144500000000,-56.067399999990,9.304,8.174,10.910,13.544,18.644,19.878,12.953,16.618,20.567,29.112,31.205,31.219,30.759
Machadinho,4311700,-27.566700000000,-51.666800000000,3.026,3.762,9.105,10.021,10.549,11.283,6.739,9.589,10.871,10.919,10.259,13.846,15.576
Mampituba,4311734,-29.213600000000,-49.931100000000,2.880,3.211,4.202,4.131,5.288,5.551,5.705,6.244,7.344,8.278,9.219,10.541,11.301
"Manoel Viana",4311759,-29.585899999990,-55.484099999990,4.776,3.968,5.442,6.778,9.092,7.618,6.700,8.381,12.516,14.842,14.027,15.930,17.695
Maquiné,4311775,-29.679800000000,-50.207900000000,2.864,3.249,3.494,3.722,4.507,5.026,6.379,8.004,9.545,9.539,10.283,12.094,10.878
Maratá,4311791,-29.545700000000,-51.557299999990,5.112,6.318,7.711,9.138,10.245,10.696,10.183,11.341,13.590,14.483,16.267,20.214,22.458
Marau,4311809,-28.449800000000,-52.198599999990,15.328,14.923,15.716,18.320,22.681,24.158,25.748,25.477,27.908,26.853,31.127,33.762,40.793
"Marcelino Ramos",4311908,-27.467600000000,-51.909500000000,4.139,4.481,4.765,5.539,7.454,7.827,7.859,8.993,10.578,11.209,11.114,13.837,15.360
"Mariana Pimentel",4311981,-30.353100000000,-51.580300000000,3.567,3.755,4.214,4.516,5.820,5.697,5.601,6.442,7.009,8.463,10.645,12.012,12.365
"Mariano Moro",4312005,-27.356800000000,-52.146700000000,3.753,4.238,4.513,4.755,6.902,6.626,7.172,8.110,9.539,10.482,10.253,12.542,14.743
"Marques de Souza",4312054,-29.331099999990,-52.097299999990,3.754,4.457,5.023,5.379,6.422,7.070,6.832,7.905,10.417,10.399,11.434,14.102,18.131
Mata,4312104,-29.564900000000,-54.464100000000,2.874,3.175,3.734,4.388,5.362,5.841,5.894,7.313,8.350,8.608,9.475,10.917,12.383
"Mato Castelhano",4312138,-28.280000000000,-52.193199999990,7.396,8.583,10.216,11.725,15.721,11.932,7.762,12.554,16.456,23.556,19.913,20.762,27.176
"Mato Leitão",4312153,-29.528500000000,-52.127800000000,5.104,5.932,10.013,13.240,16.008,17.695,17.287,17.747,21.189,21.551,25.699,26.540,29.544
"Mato Queimado",4312179,-28.247500000000,-54.619199999990,-,-,5.493,5.311,8.429,6.308,6.580,9.214,12.964,13.061,13.511,16.751,19.086
"Maximiliano de Almeida",4312203,-27.632500000000,-51.802100000000,3.202,4.176,4.762,6.438,8.139,8.503,8.021,11.208,12.106,12.705,10.757,12.786,14.152
"Minas do Leão",4312252,-30.134599999990,-52.042299999990,4.997,5.871,5.457,5.162,6.413,7.548,7.060,7.215,9.706,9.417,10.298,12.218,11.394
Miraguaí,4312302,-27.497000000000,-53.689100000000,2.672,3.269,3.416,3.591,5.360,5.071,5.541,6.623,8.285,8.897,9.812,15.135,20.775
Montauri,4312351,-28.646200000000,-52.076700000000,4.209,4.738,6.851,7.587,10.994,10.272,9.136,10.862,13.645,14.799,16.253,25.081,31.267
"Monte Alegre dos Campos",4312377,-28.680499999990,-50.783400000000,4.366,4.735,5.883,6.008,7.139,6.722,6.331,8.468,9.527,8.769,9.712,11.950,13.819
"Monte Belo do Sul",4312385,-29.160699999990,-51.633299999990,4.489,5.129,6.142,8.468,9.047,9.570,9.989,11.486,16.527,17.454,20.968,25.347,27.868
Montenegro,4312401,-29.682400000000,-51.467900000000,8.684,8.999,10.898,13.608,15.138,16.455,17.653,17.512,20.069,22.226,24.592,29.614,29.273
Mormaço,4312427,-28.696800000000,-52.699900000000,4.806,4.796,6.980,8.116,13.219,11.175,8.045,11.558,15.503,17.147,18.364,19.173,22.103
"Morrinhos do Sul",4312443,-29.357800000000,-49.932800000000,2.329,2.683,3.356,3.905,5.080,5.388,5.844,6.417,7.699,8.216,9.898,11.739,11.766
"Morro Redondo",4312450,-31.588699999990,-52.626100000000,4.296,5.278,6.349,6.063,6.627,8.005,8.354,8.566,9.301,9.307,10.554,12.466,13.002
"Morro Reuter",4312476,-29.537900000000,-51.081099999990,6.537,7.149,7.822,8.534,10.379,11.201,10.973,10.575,11.638,11.418,12.695,15.985,17.696
Mostardas,4312500,-31.105399999990,-50.916699999990,6.839,5.681,6.996,7.670,10.017,11.558,9.280,9.874,12.157,15.300,16.874,19.560,16.669
Muçum,4312609,-29.163000000000,-51.871400000000,4.806,5.810,6.262,6.867,9.790,20.034,16.393,14.379,15.121,16.720,17.158,19.685,20.497
"Muitos Capões",4312617,-28.313199999990,-51.183599999990,12.724,15.558,21.003,28.493,44.990,27.576,21.130,38.808,44.066,53.345,42.287,72.339,68.111
Muliterno,4312625,-28.325299999990,-51.769700000000,5.413,5.847,7.244,8.529,9.577,9.353,8.967,13.292,14.505,17.439,16.398,19.869,21.851
Não-Me-Toque,4312658,-28.454799999990,-52.818199999990,8.393,9.936,12.753,14.696,20.361,21.538,16.076,17.852,23.569,25.793,26.205,32.926,38.493
"Nicolau Vergueiro",4312674,-28.529800000000,-52.467599999990,6.531,7.606,10.625,13.126,17.801,15.421,9.556,15.442,21.143,26.431,25.980,28.845,37.232
Nonoai,4312708,-27.368900000000,-52.775599999990,4.805,4.834,6.097,5.846,8.868,9.212,7.053,8.323,10.804,11.866,15.522,18.341,20.403
"Nova Alvorada",4312757,-28.682200000000,-52.163100000000,6.688,7.042,10.871,12.040,16.228,16.785,15.685,18.221,20.890,20.988,23.578,27.397,34.292
"Nova Araçá",4312807,-28.653700000000,-51.745800000000,5.746,7.971,9.331,11.853,14.969,14.945,16.150,19.871,21.123,48.290,45.277,43.494,44.776
"Nova Bassano",4312906,-28.729099999990,-51.707200000000,11.232,14.936,15.788,21.863,23.934,28.604,30.397,30.572,36.395,36.914,39.221,42.462,45.627
"Nova Boa Vista",4312955,-27.992599999990,-52.978400000000,4.455,5.544,6.558,8.068,10.743,9.779,8.373,11.837,14.785,15.918,15.938,18.649,21.655
"Nova Bréscia",4313003,-29.218200000000,-52.031900000000,4.262,4.615,6.176,7.582,9.921,9.378,9.718,10.772,13.204,12.101,12.869,20.781,32.369
"Nova Candelária",4313011,-27.613700000000,-54.107399999990,3.485,4.677,6.023,7.294,11.308,10.548,11.118,12.422,16.792,22.402,23.135,23.873,30.356
"Nova Esperança do Sul",4313037,-29.406600000000,-54.829300000000,9.934,11.746,13.876,18.500,19.970,17.509,13.604,13.046,14.680,14.444,12.642,16.538,17.802
"Nova Hartz",4313060,-29.580700000000,-50.905099999990,8.836,9.959,10.283,10.759,10.835,10.919,11.311,12.052,15.079,15.923,18.727,23.111,26.514
"Nova Pádua",4313086,-29.027500000000,-51.309800000000,10.375,11.232,14.430,15.692,15.860,17.322,17.801,24.258,18.998,16.692,19.065,21.914,22.869
"Nova Palma",4313102,-29.471000000000,-53.468899999990,5.727,5.994,7.166,8.793,12.758,12.338,12.916,14.944,17.101,18.279,19.930,22.679,24.112
"Nova Petrópolis",4313201,-29.374099999990,-51.113500000000,8.482,8.624,9.254,9.195,10.166,11.442,12.303,13.049,15.970,16.134,18.597,21.022,22.690
"Nova Prata",4313300,-28.779900000000,-51.611300000000,11.977,14.760,15.701,19.375,21.772,28.609,31.116,32.610,30.385,28.066,28.957,33.755,33.505
"Nova Ramada",4313334,-28.066700000000,-53.699199999990,5.604,5.494,7.588,7.591,14.084,9.938,6.564,9.499,16.705,21.079,20.797,20.093,27.092
"Nova Roma do Sul",4313359,-28.988199999990,-51.409500000000,5.864,6.579,8.026,8.403,9.716,11.449,11.107,15.669,14.928,18.873,23.475,28.784,31.258
"Nova Santa Rita",4313375,-29.852499999990,-51.283700000000,7.316,8.023,7.744,8.597,9.594,10.100,9.654,10.841,11.924,14.916,17.421,25.726,26.835
"Novo Barreiro",4313490,-27.907699999990,-53.110300000000,3.434,3.677,4.767,4.713,6.523,6.051,5.421,7.376,9.610,10.199,10.494,12.995,13.969
"Novo Cabrais",4313391,-29.733799999990,-52.948900000000,4.212,4.422,5.902,6.306,7.463,8.265,7.474,8.829,9.849,11.164,12.700,12.856,14.204
"Novo Hamburgo",4313409,-29.687600000000,-51.132800000000,7.936,9.262,10.015,12.065,12.727,14.816,15.035,15.058,16.213,16.942,17.712,22.382,23.010
"Novo Machado",4313425,-27.576499999990,-54.503599999990,3.847,4.355,5.142,6.741,10.788,7.871,5.984,9.271,11.550,12.205,13.477,15.609,17.917
"Novo Tiradentes",4313441,-27.564900000000,-53.183700000000,3.149,4.404,5.555,4.937,7.276,5.918,6.115,6.494,8.463,9.442,10.661,13.193,15.643
"Novo Xingu",4313466,-27.743099999990,-53.061599999990,-,-,4.862,5.172,7.998,6.563,6.244,8.737,11.214,11.890,11.158,13.971,15.998
Osório,4313508,-29.888100000000,-50.266700000000,5.618,5.855,6.132,6.694,7.598,8.918,9.699,10.870,12.149,12.540,14.936,18.221,17.812
"Paim Filho",4313607,-27.707500000000,-51.762999999990,3.908,4.353,4.993,5.762,7.978,7.785,7.615,9.008,10.450,11.535,11.939,15.985,16.392
"Palmares do Sul",4313656,-30.253499999990,-50.510300000000,6.164,5.939,6.290,7.241,9.162,10.783,9.835,10.212,11.577,13.483,14.801,19.090,18.229
"Palmeira das Missões",4313706,-27.900600000000,-53.313400000000,5.439,5.985,7.091,7.752,12.406,11.085,7.333,9.829,14.621,14.963,17.418,18.914,22.280
Palmitinho,4313805,-27.359600000000,-53.558000000000,3.319,3.851,4.469,5.118,6.699,6.251,6.560,7.600,9.642,10.592,10.565,12.440,14.182
Panambi,4313904,-28.283300000000,-53.502299999990,7.126,8.185,10.169,11.976,16.202,17.288,16.439,15.311,16.436,18.978,20.495,25.862,26.889
"Pantano Grande",4313953,-30.190100000000,-52.372900000000,5.457,5.454,5.724,6.964,9.289,9.610,9.384,9.787,12.319,13.926,14.819,17.662,18.822
Paraí,4314001,-28.596399999990,-51.789600000000,5.980,7.013,7.924,9.912,12.942,13.751,15.215,16.044,18.171,17.855,18.792,22.174,25.508
"Paraíso do Sul",4314027,-29.671700000000,-53.143999999990,4.416,4.497,5.556,6.255,7.427,8.224,7.587,9.346,10.821,12.178,13.105,13.170,13.816
"Pareci Novo",4314035,-29.636500000000,-51.397399999990,3.687,4.171,4.818,5.352,6.935,7.414,8.379,11.209,14.760,14.070,16.424,17.349,16.029
Parobé,4314050,-29.624300000000,-50.831200000000,8.292,8.667,8.571,8.586,8.345,8.245,8.536,7.999,9.771,9.050,10.098,12.568,13.632
"Passa Sete",4314068,-29.457699999990,-52.959899999990,3.857,4.089,6.043,5.629,7.242,8.157,7.742,10.444,10.681,12.182,12.393,11.552,13.589
"Passo do Sobrado",4314076,-29.748000000000,-52.274799999990,4.931,5.222,6.925,7.861,10.263,11.589,10.728,11.153,11.293,11.776,12.722,15.940,18.515
"Passo Fundo",4314100,-28.257600000000,-52.409100000000,7.431,8.440,8.643,10.449,12.413,12.971,12.947,13.877,16.713,18.386,20.015,24.585,26.814
"Paulo Bento",4314134,-27.697800000000,-52.426099999990,-,-,5.726,6.174,10.981,9.846,7.974,12.729,18.274,18.692,17.869,20.567,22.930
Paverama,4314159,-29.548500000000,-51.733899999990,2.933,3.637,5.254,5.499,6.127,7.974,6.994,6.926,8.242,9.211,9.271,12.695,16.868
"Pedras Altas",4314175,-31.721699999990,-53.583799999990,-,-,3.777,6.372,9.014,9.942,10.079,10.863,14.559,16.714,18.052,23.564,23.225
"Pedro Osório",4314209,-31.864200000000,-52.818399999990,3.627,3.648,4.148,4.810,5.681,6.280,6.273,6.495,7.238,8.350,9.438,11.598,11.649
Pejuçara,4314308,-28.428300000000,-53.657899999990,7.676,7.219,11.470,10.353,19.022,14.356,8.491,17.056,24.025,27.268,31.809,29.060,34.366
Pelotas,4314407,-31.764900000000,-52.337100000000,5.268,5.171,5.594,6.199,6.687,7.407,7.676,8.255,9.324,10.199,11.256,13.882,16.488
"Picada Café",4314423,-29.446400000000,-51.136699999990,10.876,12.533,11.372,12.297,12.151,15.766,18.282,19.733,22.239,24.190,31.260,33.514,34.837
Pinhal,4314456,-27.507999999990,-53.208199999990,4.350,5.087,8.492,8.274,10.415,9.027,9.476,11.595,16.170,16.469,16.660,18.757,19.765
"Pinhal da Serra",4314464,-27.863399999990,-51.170200000000,-,-,5.059,8.910,15.462,24.358,19.991,50.997,54.231,50.274,64.091,75.619,87.257
"Pinhal Grande",4314472,-29.344999999990,-53.320700000000,8.603,9.215,11.012,11.387,14.043,12.879,11.462,14.327,21.312,24.207,25.702,27.965,30.684
"Pinheirinho do Vale",4314498,-27.210899999990,-53.607999999990,3.883,4.259,4.773,5.844,8.281,7.550,8.185,9.518,10.118,11.503,10.791,12.188,12.698
"Pinheiro Machado",4314506,-31.579400000000,-53.379800000000,5.051,4.955,5.474,6.245,6.796,7.104,7.339,7.287,9.616,11.326,12.304,14.574,15.317
Pirapó,4314555,-28.043900000000,-55.200099999990,3.327,3.544,4.315,4.860,6.642,5.950,5.969,7.298,8.974,10.025,9.865,12.921,14.358
Piratini,4314605,-31.447299999990,-53.097299999990,3.469,3.627,4.188,4.731,5.691,6.208,6.181,6.452,7.833,8.671,9.094,10.813,11.435
Planalto,4314704,-27.329699999990,-53.057500000000,3.353,3.474,4.282,4.365,5.542,5.476,6.218,6.880,7.902,7.763,8.817,11.031,11.990
"Poço das Antas",4314753,-29.448100000000,-51.671900000000,4.016,4.539,5.164,6.202,8.834,8.735,8.345,9.259,9.909,12.087,12.232,15.025,16.625
Pontão,4314779,-28.058499999990,-52.679099999990,6.157,8.813,11.055,13.474,21.330,18.847,11.833,21.698,24.965,27.825,24.374,27.197,31.410
"Ponte Preta",4314787,-27.658700000000,-52.484800000000,3.697,4.608,4.844,5.703,7.949,6.952,6.123,9.293,12.002,13.664,12.908,15.380,18.057
Portão,4314803,-29.701499999990,-51.242899999990,9.387,13.495,17.127,19.103,19.293,22.879,18.834,17.829,19.806,17.916,20.443,23.159,22.921
"Porto Alegre",4314902,-30.032778000000,-51.230000000000,11.666,12.073,12.863,14.650,15.577,16.790,19.691,20.911,23.644,25.062,25.675,30.461,32.203
"Porto Lucena",4315008,-27.856900000000,-55.009999999990,3.234,3.836,4.282,4.843,6.252,6.112,5.859,6.811,8.339,8.805,8.958,11.730,13.425
"Porto Mauá",4315057,-27.579599999990,-54.665700000000,3.262,3.815,4.541,4.779,6.777,6.546,6.801,8.423,10.118,10.451,12.422,14.293,14.394
"Porto Vera Cruz",4315073,-27.740500000000,-54.899400000000,3.165,3.965,4.706,5.431,7.171,7.094,6.350,7.833,9.403,10.482,10.832,16.263,14.316
"Porto Xavier",4315107,-27.908200000000,-55.137900000000,3.785,3.621,4.396,4.713,5.822,6.280,8.314,9.227,14.706,21.065,12.807,17.082,12.800
"Pouso Novo",4315131,-29.173800000000,-52.213600000000,4.112,4.680,5.936,5.596,6.528,7.840,7.890,9.455,11.479,15.578,15.755,19.299,27.355
"Presidente Lucena",4315149,-29.517600000000,-51.179800000000,5.474,6.260,7.487,8.214,11.279,10.791,11.540,11.837,12.317,12.310,14.141,17.358,19.551
Progresso,4315156,-29.244199999990,-52.319699999990,4.387,4.664,5.153,5.573,7.679,8.401,7.669,9.685,11.046,11.323,11.610,13.466,17.233
"Protásio Alves",4315172,-28.757200000000,-51.475700000000,4.220,4.787,5.731,7.121,12.105,12.408,10.435,12.700,12.222,13.825,13.038,16.411,22.370
Putinga,4315206,-29.004500000000,-52.156900000000,4.487,4.416,6.097,7.887,12.757,11.373,11.744,13.599,14.648,14.433,15.557,16.270,19.145
Quaraí,4315305,-30.384000000000,-56.448300000000,4.040,4.192,5.091,5.558,5.812,6.654,6.483,7.077,8.187,9.373,10.343,12.567,12.088
"Quatro Irmãos",4315313,-27.816299999990,-52.441899999990,-,-,11.448,12.785,20.318,15.891,7.119,14.881,23.603,22.166,18.407,22.997,28.872
Quevedos,4315321,-29.350400000000,-54.078899999990,6.506,5.065,8.166,9.767,16.102,11.948,8.779,14.921,17.770,21.550,21.515,22.229,27.023
"Quinze de Novembro",4315354,-28.746500000000,-53.101100000000,7.337,7.666,10.021,10.290,15.966,12.877,10.945,15.433,19.722,23.917,21.616,21.104,24.532
Redentora,4315404,-27.664000000000,-53.640700000000,2.671,3.202,3.976,3.440,5.185,4.304,4.013,5.248,6.873,6.298,6.843,8.247,9.250
Relvado,4315453,-29.116399999990,-52.077800000000,3.800,4.047,5.757,6.095,7.997,8.015,7.910,9.532,10.239,10.782,11.438,16.358,22.750
"Restinga Seca",4315503,-29.818800000000,-53.380699999990,6.194,6.400,7.730,8.406,9.887,9.805,7.666,9.376,11.631,13.302,14.451,13.620,15.457
