"Município","ibge","latitude","longitude","/Transportes/Número de Acidentes Fatais/Total 2007 (-)","/Transportes/Número de Acidentes Fatais/Total 2008 (-)","/Transportes/Número de Acidentes Fatais/Total 2009 (-)","/Transportes/Número de Acidentes Fatais/Total 2010 (-)","/Transportes/Número de Acidentes Fatais/Total 2011 (-)","/Transportes/Número de Acidentes Fatais/Total 2012 (-)","/Transportes/Número de Acidentes Fatais/Total 2013 (-)"
"Cidreira","4305454","-30.160399999990","-50.233800000000","-","-","4","1","6","4","8"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","3","2","-","3","1","3","2"
"Colinas","4305587","-29.381499999990","-51.852600000000","2","-","1","-","1","-","2"
"Colorado","4305603","-28.525800000000","-52.992800000000","-","-","1","-","-","2","-"
"Condor","4305702","-28.207500000000","-53.490499999990","2","-","2","2","-","1","-"
"Constantina","4305801","-27.731999999990","-52.993800000000","2","1","3","3","2","1","3"
"Coronel Barros","4305871","-28.392199999990","-54.068600000000","1","-","1","-","1","2","2"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","4","2","4","4","2","3","1"
"Coronel Pilar","4305934","-29.268400000000","-51.687899999990","-","-","-","-","1","-","-"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","-","-","1","1","3","2","-"
"Coxilha","4305975","-28.128000000000","-52.302300000000","-","1","-","3","3","3","1"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","1","-","1","1","1","1","1"
"Cristal","4306056","-31.004600000000","-52.043599999990","-","2","4","12","1","1","3"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","1","-","-","1","1","-","1"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","10","13","7","15","8","12","13"
"Cruzaltense","4306130","-27.664400000000","-52.649200000000","-","-","-","-","-","1","-"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","3","2","1","1","1","4","2"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","1","2","1","1","-","1","-"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","-","-","-","-","1","-","-"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","-","-","-","-","-","1","1"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","-","-","-","1","-","-","1"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","9","9","4","8","4","11","5"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","-","1","1","2","1","-","1"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","-","1","2","-","-","2","-"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","5","2","3","4","5","5","4"
"Dom Pedro de Alcântara","4306551","-29.363900000000","-49.853000000000","1","-","-","-","1","2","1"
"Dona Francisca","4306700","-29.619499999990","-53.361699999990","-","1","1","-","-","-","-"
"Doutor Maurício Cardoso","4306734","-27.510300000000","-54.357799999990","3","-","2","-","-","1","-"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","-","-","1","-","-","-","-"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","7","8","7","12","11","8","12"
"Encantado","4306809","-29.235099999990","-51.870300000000","9","2","5","7","5","4","3"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","5","3","4","8","8","4","6"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","-","1","-","-","-","-","-"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","-","-","-","-","-","1","1"
"Entre-ijuís","4306932","-28.368600000000","-54.268599999990","5","3","2","3","1","4","2"
"Erebango","4306973","-27.854399999990","-52.300500000000","-","1","1","1","-","1","1"
"Erechim","4307005","-27.636399999990","-52.269700000000","16","19","18","19","16","11","14"
"Ernestina","4307054","-28.497699999990","-52.583599999990","1","2","1","-","2","2","3"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","-","-","2","3","2","-","-"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","1","-","-","3","-","-","1"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","2","2","-","-","-","1","-"
"Esperança do Sul","4307450","-27.360299999990","-53.989100000000","-","-","-","-","-","1","-"
"Espumoso","4307500","-28.728600000000","-52.846100000000","1","-","-","1","1","1","-"
"Estação","4307559","-27.913499999990","-52.263500000000","1","1","1","3","2","1","-"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","7","5","3","8","7","6","6"
"Esteio","4307708","-29.852000000000","-51.184100000000","8","6","3","19","8","11","9"
"Estrela","4307807","-29.501600000000","-51.960500000000","7","10","10","11","9","6","11"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","-","-","-","1","1","1","1"
"Eugênio de Castro","4307831","-28.531500000000","-54.150599999990","-","-","2","-","1","-","1"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","-","-","1","-","-","1","-"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","20","14","17","20","27","29","19"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","-","2","1","2","3","2","3"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","-","-","1","-","-","1","-"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","4","5","3","4","3","2","8"
"Feliz","4308102","-29.452700000000","-51.303199999990","2","-","5","8","6","8","-"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","4","8","5","8","13","8","6"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","3","2","1","3","5","6","2"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","1","1","1","-","1","1","2"
"Forquetinha","4308433","-29.379200000000","-52.091700000000","-","2","-","2","1","-","1"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","7","7","4","9","7","10","9"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","11","6","4","10","8","13","12"
"Garruchos","4308656","-28.194400000000","-55.638300000000","-","-","-","-","-","2","-"
"Gaurama","4308706","-27.585599999990","-52.091500000000","-","1","-","3","1","1","1"
